model,n_folds,acc_mean,acc_std,acc_95ci,auc_mean,auc_std
LDA,20,0.9518467218040385,0.02729946639635544,"[0.939882203132141, 0.963811240475936]",0.5321690824950747,0.10476025313490873
Logistic,20,0.7229687540227403,0.09809715427169345,"[0.6799757805739853, 0.7659617274714953]",0.4939237469949774,0.10426517067149105
SVM,20,0.9534233528936145,0.009968699687980274,"[0.9490543776242919, 0.957792328162937]",0.5094772269273983,0.0928294359924739
XGBoost,20,0.9459208020684227,0.025436580852787247,"[0.9347727289836303, 0.957068875153215]",0.5076869171695415,0.11411349886399372
