fold,test_subject,model,n_train,n_test,acc,precision,recall,f1,auc,confusion_matrix
12,012,SVM,3768,200,0.945,0.0,0.0,0.0,0.43375277572168763,"[[189, 4], [7, 0]]"
12,012,XGBoost,3768,200,0.955,0.0,0.0,0.0,0.3560325684678016,"[[191, 2], [7, 0]]"
13,013,LDA,3768,200,0.965,0.0,0.0,0.0,0.44411547002220575,"[[193, 0], [7, 0]]"
13,013,Logistic,3768,200,0.79,0.02702702702702703,0.14285714285714285,0.045454545454545456,0.5173945225758697,"[[157, 36], [6, 1]]"
13,013,SVM,3768,200,0.95,0.0,0.0,0.0,0.4855662472242783,"[[190, 3], [7, 0]]"
13,013,XGBoost,3768,200,0.845,0.07142857142857142,0.2857142857142857,0.11428571428571428,0.4374537379718727,"[[167, 26], [5, 2]]"
14,014,LDA,3768,200,0.955,0.0,0.0,0.0,0.5677083333333333,"[[191, 1], [8, 0]]"
14,014,Logistic,3768,200,0.69,0.05,0.375,0.08823529411764706,0.6510416666666667,"[[135, 57], [5, 3]]"
14,014,SVM,3768,200,0.955,0.0,0.0,0.0,0.4290364583333333,"[[191, 1], [8, 0]]"
14,014,XGBoost,3768,200,0.955,0.0,0.0,0.0,0.4772135416666667,"[[191, 1], [8, 0]]"
15,015,LDA,3768,200,0.97,0.0,0.0,0.0,0.32388316151202745,"[[194, 0], [6, 0]]"
15,015,Logistic,3768,200,0.83,0.0,0.0,0.0,0.22336769759450176,"[[166, 28], [6, 0]]"
15,015,SVM,3768,200,0.95,0.0,0.0,0.0,0.4338487972508591,"[[190, 4], [6, 0]]"
15,015,XGBoost,3768,200,0.94,0.0,0.0,0.0,0.563573883161512,"[[188, 6], [6, 0]]"
16,016,LDA,3768,200,0.95,0.0,0.0,0.0,0.5715789473684211,"[[190, 0], [10, 0]]"
16,016,Logistic,3768,200,0.885,0.06666666666666667,0.1,0.08,0.5431578947368421,"[[176, 14], [9, 1]]"
16,016,SVM,3768,200,0.95,0.0,0.0,0.0,0.528421052631579,"[[190, 0], [10, 0]]"
16,016,XGBoost,3768,200,0.945,0.0,0.0,0.0,0.6226315789473684,"[[189, 1], [10, 0]]"
17,017,LDA,3768,200,0.97,0.0,0.0,0.0,0.5403780068728522,"[[194, 0], [6, 0]]"
17,017,Logistic,3768,200,0.69,0.03333333333333333,0.3333333333333333,0.06060606060606061,0.5137457044673539,"[[136, 58], [4, 2]]"
17,017,SVM,3768,200,0.955,0.0,0.0,0.0,0.5644329896907216,"[[191, 3], [6, 0]]"
17,017,XGBoost,3768,200,0.945,0.0,0.0,0.0,0.5987972508591065,"[[189, 5], [6, 0]]"
18,018,LDA,3768,200,0.965,0.0,0.0,0.0,0.4584615384615384,"[[193, 2], [5, 0]]"
